"";"colo";"comp";"decomp";"gradient"
"Aj";-5,60282670985091;11,0312597973066;0,551814304000909;5
"An";-7,05814019352175;11,0980556848022;0,658503532583421;3
"Arb";-0,211784176838164;11,2925432081589;0,712450310672375;4
"Ath";-8,34219365487098;11,3132171493288;0,489461939900299;1
"Bro";-7,68522478077381;10,9574683867916;0,52218129065685;1
"Ce";-6,24271709922099;11,3604834252647;0,722030758872321;3
"Cho";-6,02179025984539;10,4913338771372;0,580214199153194;3
"Cor";0,494059299680886;11,4274275224643;0,843770492913526;5
"Cui";-8,3866994651245;10,8519091057408;0,481229882314897;1
"Dee";-8,37573829913348;11,3171842843553;0,514439159622292;1
"Dew";-8,12362653887539;11,0496000222575;0,467338371725562;1
"Dor";-5,85471877073442;10,7814260023193;0,649247021534234;2
"Duv";-6,83205329007104;10,9664121442251;0,513163332969807;4
"Ecl";-11,7859712878253;10,8768477015019;0,594054149015008;1
"Edi";-10,0757363297873;11,1232143553115;0,496385571343523;1
"Equ";-6,07894228609858;11,1610233597311;0,677921383111695;3
"Gra";-3,82456149819006;11,3570311955604;0,484760991158056;4
"Hei";-2,28294517109556;11,1294525068202;0,702050670000358;4
"Iba";-4,74014809618217;11,1951799035322;0,720483732532874;2
"Laj";-3,80285015219501;11,3943380737379;0,967778553578399;4
"Lef";-9,33974852041737;10,7126134797177;0,626048863478188;1
"Li";-8,76981401214631;11,0887971445732;0,601244320216122;3
"Mac";-1,5908062231603;11,4875699575713;0,677663563297984;4
"Mej";-1,50038781377969;11,5582441276476;0,759496562935266;5
"Mev";-1,43128645827807;11,5548198535685;0,63017015106474;3
"Mol";-7,50678238776381;10,9371698142075;0,72318455744123;2
"Mor";-7,0523476376269;10,8046208034272;0,557512933657798;2
"Mou";-8,43072599637675;10,951036034485;0,460139376356853;2
"Mtb";-5,46825228300897;11,1507890040049;0,618433470070544;3
"Mui";-9,62310618673777;11,2402855338201;0,444405700667214;1
"Or";-4,80692089313198;11,3424418980616;0,695108377900121;2
"Per";-6,55540350381371;11,0088835652161;0,567216449925623;4
"Pin";-5,86342189279672;10,8529044130213;0,556175547801744;2
"Po";-0,855113991223334;11,4589312510418;0,854898018308129;5
"Re";-4,97899860381337;11,4367906308193;0,626294177370606;3
"Ren";-4,67965609471003;11,0477711807229;0,912400098244047;4
"Roc";-6,60576408376699;11,1849752686318;0,707397224865452;2
"Sai";-1,92115314947751;11,4523198246113;0,776377224143996;5
"Sen";-3,06330151391086;11,3553185814926;0,601385571788226;4
"Te";-2,46237389848434;11,3491091671032;0,675261790054836;3
"Tho";-2,7697523716584;11,0190325899263;0,652360299785371;4
"Wi";-3,6314740638217;11,1810369650324;0,686418737180394;4
